번호,상호,품목,구,동,결재방법,전화번호,주소,데이터기준일자
22,(주)아이잼판교학원,학원,분당구,백현동,모두,031-8016-5353,경기도 성남시 분당구 동판교로 61 (백현동),2021-01-16
23,(주)앤앤컴퍼니 GOTO미금,헬스장,분당구,금곡동,지류,031-7269-9696,경기도 성남시 분당구 성남대로 170 7층 701호,2021-01-16
24,(주)앤앤컴퍼니 GOTO서현,헬스장,분당구,서현1동,지류,031-701-5822,"경기도 성남시 분당구 분당로53번길 11, 301호",2021-01-16
25,(주)앤앤컴퍼니 GOTO신흥,헬스장,수정구,신흥1동,지류,031-736-4000,경기도 성남시 수정구 시민로 165 지층 101호,2021-01-16
26,(주)어셋그로우 서현점,학원,분당구,서현1동,지류,031-707-9609,경기도 성남시 분당구 서현로 192 (서현동),2021-01-16
27,(주)올가교육,학원,분당구,수내2동,지류,031-713-7898,경기도 성남시 분당구 돌마로 361 동신코아 2층,2021-01-16
28,(주)와이디자인컴퍼니,기타(도소매),분당구,백현동,지류,,경기도 성남시 분당구 판교역로2번길 9-1 101호,2021-01-16
29,(주)이건가족,음식점,중원구,성남동,지류,031-753-0900,성남시 중원구 산성대로 208 신한타워 2층,2021-01-16
30,(주)일상,사진관,분당구,서현1동,모두,031-705-5775,경기도 성남시 분당구 새마을로177번길 19 일상스튜디오,2021-01-16
31,(주)제이알디웍스,기타(도소매),분당구,이매1동,모두,070-7747-0499,경기도 성남시 분당구 성남대로779번길 6 (이매동),2021-01-16
32,(주)칸티나,기타(도소매),분당구,정자동,모두,031-625-1500,경기도 성남시 분당구 정자일로 177 상가동 213-1호,2021-01-16
33,(주)터닝포인트짐 분당오리역점,문화·스포츠,분당구,구미동,모두,031-782-9228,경기도 성남시 분당구 성남대로 51 지하1층 157호 158호,2021-01-16
34,(주)터닝포인트짐 위례에이플타워점,문화·스포츠,수정구,위례동,모두,02-2618-8801,경기도 성남시 수정구 위례동로 153 10층,2021-01-16
35,(주)티제이에스,학원,분당구,이매2동,모두,031-708-5400,성남시 분당구 이매로 15(중앙빌딩층),2021-01-16
36,(주)파파이스다이닝,음식점,분당구,삼평동,지류,031-698-4945,경기도 성남시 분당구 판교역로 240 삼평동  삼환하이펙스 A동 지하1층 B102호,2021-01-16
37,(주)팡메이,음식점,분당구,분당동,지류,031-707-8180,경기도 성남시 분당구 불정로420번길 57 1층,2021-01-16
38,(주)플라넷이엔씨,학원,수정구,위례동,모바일,070-4220-7676,경기도 성남시 수정구 위례광장로 310 905호 강의하는아이들,2021-01-16
39,(주)피싱메이트,기타(도소매),분당구,야탑3동,지류,031-708-5558,경기도 성남시 분당구 판교로 700 테크노파크 D동 107호,2021-01-16
40,(주)화승써포트,기타(도소매),분당구,정자동,지류,031-716-4691,경기도 성남시 분당구 백현로156번길 17-7 1층,2021-01-16
41,(필)feel,기타(도소매),분당구,서현2동,모두,031-781-1758,성남시 분당구 불정로376번길 37 범한프라자 130호(서현동),2021-01-16
42,(A+)에이플러스 산모케어,산후도우미,분당구,판교동,모두,031-605-3690,경기도 성남시 분당구 판교역로192번길 16 8층 806호 A268,2021-01-16
43,1.2.3. 우동집,음식점,분당구,정자동,지류,031-000-0000,경기도 성남시 분당구 정자로 13 (정자동),2021-01-16
44,1000냥 할인코너,기타(도소매),중원구,상대원1동,모두,031-732-9966,성남시 중원구 박석로25번길16 (상대원동),2021-01-16
45,100세동안(수정점),기타(도소매),수정구,태평1동,모두,031-752-0740,"성남시 수정구 제일로 175-1, 1층(태평동)",2021-01-16
46,100세플란트치과의원,병원,중원구,은행2동,지류,031-608-7575,성남시 중원구 은이로5번길 1 건영빌딩 7층,2021-01-16
47,101,미용,분당구,정자동,지류,,경기도 성남시 분당구 느티로51번길 4-2 (정자동),2021-01-16
48,101기타 음악 교습소,학원,분당구,정자동,모두,031-000-0000,"성남시 분당구 느티로 69, 3층 3호 101기타 음악 교습소(정자동, 숲안조합상가)",2021-01-16
49,105 PASTA,음식점,분당구,판교동,지류,031-707-0105,성남시 분당구 운중로225번길 4-3,2021-01-16
50,107뮤직드럼미디전문학원,학원,분당구,정자동,지류,,경기도 성남시 분당구 내정로 111 (정자동),2021-01-16
51,10억분식,음식점,수정구,산성동,지류,031-732-1349,"성남시 수정구 희망로534번길 34-1, 1층(산성동)",2021-01-16
52,10th planet korea텐스짐,문화·스포츠,수정구,태평1동,모두,031-755-1055,경기도 성남시 수정구 성남대로 1324 태룡빌딩 3층,2021-01-16
53,113ho,카페,분당구,야탑1동,모두,031-000-0000,"경기도 성남시 분당구 야탑로69번길 21, 113호 (야탑동)",2021-01-16
54,11페이지수학전문학원,학원,분당구,정자동,모두,031-000-0000,"경기도 성남시 분당구 정자일로 234, 8층 803호 (정자동, 태남프라자)",2021-01-16
55,153정육식당,음식점,분당구,서현2동,모두,031-707-6153,"성남시 분당구 불정로386번길 10, 601동1071~2호,1074~5호",2021-01-16
56,153축산물공판장,기타(도소매),분당구,서현2동,모두,031-707-6153,성남시 분당구 불정로386번길 10,2021-01-16
57,153카센타,카센타,중원구,상대원2동,모두,031-733-0153,성남시 중원구 희망로 346,2021-01-16
58,153헤어샵,미용,중원구,상대원2동,모두,031-754-6196,성남시 중원구 희망로327번길 14-1,2021-01-16
59,179 실비,음식점,분당구,구미동,모두,031-715-1790,경기도 성남시 분당구 구미로9번길 17,2021-01-16
60,179실비,음식점,분당구,구미동,지류,031-715-1790,"성남시 분당구 구미로9번길 17, 107호",2021-01-16
61,185헤어,미용,중원구,도촌동,모바일,031-000-0000,"경기도 성남시 중원구 성남대로 989, 1층 107호(여수동, 베스티안)",2021-01-16
62,19 TEA 서현점,카페,분당구,서현1동,모두,031-705-6016,"성남시 분당구 서현로180번길 19, 101-20호(서현동)",2021-01-16
63,1936육개장터 성남단대점,음식점,수정구,단대동,모두,031-745-6966,"성남시 수정구 산성대로 411, 1층",2021-01-16
64,1953 연남 서서갈비,음식점,분당구,정자동,모두,031-719-1953,경기도 성남시 분당구 백현로150번길 7 1층,2021-01-16
65,1987 봄,음식점,분당구,정자동,지류,031-000-0000,경기도 성남시 분당구 백현로144번길 7-6 (정자동),2021-01-16
66,1988옛날통닭(직영점),음식점,수정구,태평3동,모두,031-758-3884,"성남시 수정구 탄리로81번길 8, 1층(태평동)",2021-01-16
67,1991케이크앤카페,카페,분당구,정자동,모두,031-000-0000,"경기도 성남시 분당구 내정로113번길 10-10, 1층(정자동)",2021-01-16
68,19티 분당미금역점,음식점,분당구,금곡동,모두,031-714-1617,"경기도 성남시 분당구 돌마로 85 (구미동,동양프라자 103호)",2021-01-16
69,1등급학원,학원,분당구,판교동,모두,031-707-0462,경기도 성남시 분당구 운중로 233 6층 1등급학원,2021-01-16
70,1번 떡볶이,음식점,분당구,정자동,모두,031-717-2359,경기도 성남시 분당구 백현로 152 1층 106호,2021-01-16
71,1인자감자탕,음식점,분당구,야탑1동,모두,031-709-3949,성남시 분당구 장미로100번길 27,2021-01-16
72,1학년김밥,음식점,분당구,서현1동,모두,031-705-8889,성남시 분당구 중앙공원로39번길7 한신그린상가112호,2021-01-16
73,201휘트니스클럽,문화·스포츠,분당구,야탑3동,모두,031-000-0000,"성남시 분당구 벌말로40번길 3, 5층(야탑동,성산빌딩)",2021-01-16
74,21세기세계로약국,약국,중원구,금광1동,모두,031-743-0624,성남시 중원구 산성대로372번길 14,2021-01-16
75,21세기오토카,카센타,수정구,태평1동,모두,031-755-1484,경기도 성남시 수정구 탄리로 100 21세기오토,2021-01-16
76,21세기헤어,미용,수정구,태평2동,모두,031-722-0660,"성남시 수정구 탄리로 120, 1층(태평동)",2021-01-16
77,22디에네로(22 de enero),기타(도소매),분당구,판교동,모두,031-000-0000,"성남시 분당구 서판교로 36, 나이스빌딩 101호(판교동)",2021-01-16
78,237손칼국수,음식점,분당구,정자동,지류,070-7760-0509,성남시 분당구 정자동 180 미켈란쉐르빌 상가동,2021-01-16
79,237손칼국수,음식점,분당구,정자동,지류,070-7760-0509,경기도 성남시 분당구 정자일로 100 상가동 237손칼국수,2021-01-16
80,239공업사,기타(도소매),수정구,태평1동,지류,031-733-2390,경기도 성남시 수정구 제일로 205-1 (태평동),2021-01-16
81,239종점포차(타노시이도톤보리),음식점,중원구,상대원2동,모두,031-732-0294,"성남시 중원구 희망로 325, 1층(상대원동)",2021-01-16
82,2468 점핑 다이어트,기타(도소매),중원구,도촌동,지류,070-8801-2468,"성남시 중원구 도촌남로 27, 405호 2468 점핑 다이어트",2021-01-16
83,248고기집,음식점,분당구,서현1동,모두,031-704-0045,경기도 성남시 분당구 서현로210번길 10 지하 101호,2021-01-16
84,248고기집모란점,음식점,중원구,성남동,모두,031-704-0045,경기도 성남시 중원구 둔촌대로101번길 6 1층,2021-01-16
85,248고깃집 야탑점,음식점,분당구,야탑1동,모두,031-707-2388,성남시 분당구 장미로92번길 5,2021-01-16
86,24사아토즈동물병원,동물병원,분당구,삼평동,모두,031-8016-8206,"성남시 분당구 동판교로 177, 2층(삼평동)",2021-01-16
87,24시 속풀이 해장국 전문점,음식점,수정구,신흥3동,지류,031-743-1328,경기도 성남시 수정구 산성대로269번길 6-10 (신흥동),2021-01-16
88,24시 전주명가콩나물국밥,음식점,분당구,야탑1동,모두,031-781-4281,"성남시 분당구 장미로 42,1층 110,111호(야탑동,야탑리더스)",2021-01-16
89,24시 탁구장,문화·스포츠,중원구,성남동,모두,031-000-0000,경기도 성남시 중원구 광명로 142번길 4(성남동),2021-01-16
90,24시 편의점,기타(도소매),중원구,상대원2동,모두,031-731-8326,"성남시 중원구 금상로 9,1층(상대원동)",2021-01-16
91,24시 폴 동물병원,동물병원,분당구,정자1동,모바일,031-717-7558,"성남시 분당구 성남대로 385, 102호(정자동, 분당클리닉빌딩)",2021-01-16
92,24시만화방,기타(도소매),중원구,성남동,지류,031-756-8254,경기도 성남시 중원구 성남대로 1129 (성남동),2021-01-16
93,24시속풀이해장국,음식점,수정구,신흥3동,지류,031-743-1328,"성남시 수정구 산성대로269번길 10,(신흥동)",2021-01-16
94,24오즈스터디센터독서실,독서실,분당구,이매2동,모두,031-708-0252,"경기도 성남시 분당구 성남대로779번길 56, 4층(이매동, 한풍상가)",2021-01-16
95,24홈짐,문화·스포츠,분당구,운중동,모두,,경기도 성남시 분당구 산운로160번길 20-7 B1,2021-01-16
96,257 의정부 부대찌개,음식점,수정구,복정동,지류,031-000-0000,"성남시 수정구 복정로 45, 1층 103,104호(복정동)",2021-01-16
97,257의정부부대찌개,음식점,수정구,양지동,지류,031-732-2002,경기도 성남시 수정구 산성대로 497 1층,2021-01-16
98,25시 편의점,슈퍼마켓,분당구,구미동,모두,031-712-9439,성남시 분당구 구미로9번길 1(구미동),2021-01-16
99,25시동물병원,동물병원,중원구,은행2동,지류,031-731-0025,경기도 성남시 중원구 산성대로504번길 1 (은행동),2021-01-16
100,25커피,카페,분당구,수내2동,모두,031-717-2050,"성남시 분당구 돌마로 361, 동신코아 1층 122호",2021-01-16
101,26여수물고기,음식점,중원구,성남동,모바일,031-757-5726,"성남시 중원구 제일로63번길 28-1, 1층(성남동)",2021-01-16
102,27년전통모자순대국,음식점,중원구,상대원2동,모두,031-605-5539,"성남시 중원구 희망로 356, 101호, 102호(상대원동, 휴먼프라자)",2021-01-16
103,292짬떡 성남시청점,음식점,중원구,도촌동,지류,031-721-0292,"성남시 중원구 양현로 411, 1층 105호 (시티오피스타워)",2021-01-16
104,292짬떡 정자점,음식점,분당구,정자동,모두,031-717-0292,"성남시 분당구 느티로77번길 6-10, 1층 102호",2021-01-16
105,2대떡집,기타(도소매),분당구,판교동,모두,031-8017-1016,성남시 분당구 운중로257번길 7-12,2021-01-16
106,2대떡집,떡,분당구,판교동,모두,031-8017-1016,경기도 성남시 분당구 운중로257번길 7-12 102호 2대떡집,2021-01-16
107,2도비어판교역점,음식점,분당구,삼평동,모두,031-8017-2225,경기도 성남시 분당구 판교역로192번길 16 110호 (삼평동),2021-01-16
108,2월의이야기,음식점,수정구,태평1동,모두,031-756-2001,경기도 성남시 수정구 모란로 93 1층,2021-01-16
109,3.4.5헤어살롱,미용,분당구,운중동,지류,031-701-3450,성남시 분당구 운중로 135 2층 202호 더원스퀘어,2021-01-16
110,3.5 호프,음식점,수정구,태평4동,모두,031-754-1155,성남시 수정구 남문로141번길 2(태평동),2021-01-16
111,3.5헤어살롱,미용,분당구,정자동,모두,031-726-3567,"경기도 성남시 분당구 정자로76번길 5 (정자동, 성남프라자 1층)",2021-01-16
112,314에듀주식회사,학원,분당구,수내1동,모두,031-719-3439,"성남시 분당구 내정로165번길 50, 303,304,304-1호(수내동, 크리스탈빌딩)",2021-01-16
113,31호 그집,음식점,수정구,단대동,모두,031-000-0000,성남시 수정구 수정로466번길 31(단대동),2021-01-16
114,33떡볶이 정자점,음식점,분당구,정자동,모두,031-717-3302,경기도 성남시 분당구 정자일로 190 GS수퍼마켓 내 33떡볶이,2021-01-16
115,33떡볶이 포레스티아점,음식점,수정구,신흥2동,모두,031-733-7933,경기도 성남시 수정구 수정로 291 상가1동 209호,2021-01-16
116,345 헤어살롱,미용,분당구,야탑1동,지류,031-622-0345,경기도 성남시 분당구 야탑로81번길 10 (야탑동),2021-01-16
117,345헤어 동판교점,미용,분당구,삼평동,모바일,031-708-3450,"성남시 분당구 판교로375, 3층 301호(삼평동,에메트타운)",2021-01-16
118,345헤어살롱,미용,분당구,운중동,지류,031-701-3450,경기도 성남시 분당구 운중로 135 (운중동),2021-01-16
119,345헤어살롱 미금점,미용,분당구,금곡동,모두,031-712-0345,경기도 성남시 분당구 돌마로 85,2021-01-16
120,345헤어살롱 분당서현점,미용,분당구,서현1동,모바일,031-708-3345,"성남시 분당구 황새울로360번길 21, 201호(서현동, 분당서현신영팰리스타워)",2021-01-16
121,365그린약국,약국,분당구,금곡동,모두,031-717-2267,"경기도 성남시 분당구 성남대로 165, 231호(금곡동, 천사의도시)",2021-01-16
122,365바른경희한의원,한의원,중원구,성남동,지류,031-754-0365,경기도 성남시 중원구 성남대로 1139 2층 365바른경희한의원,2021-01-16
123,365열린약국,약국,분당구,야탑1동,모두,031-702-4764,"성남시 분당구 성남대로925번길11, 1층 116호(야탑동)",2021-01-16
124,365치킨연구소,음식점,수정구,수진2동,모두,031-743-4700,경기도 성남시 수정구 수정로88번길 13 101호 365치킨연구소,2021-01-16
125,365힘찬한의원,한의원,중원구,금광1동,지류,031-743-2900,경기도 성남시 중원구 산성대로 354-1 3층 365힘찬한의원,2021-01-16
126,369부대찌개,음식점,분당구,삼평동,지류,031-696-0300,경기도 성남시 분당구 판교역로 230 (삼평동),2021-01-16
127,37.5 위례점,카페,수정구,위례동,모두,031-754-3705,"경기도 성남시 수정구 위례순환로4길 22 1층, 지하1층",2021-01-16
128,3대 정이비인후과,병원,분당구,야탑1동,모두,031-709-8400,"성남시 분당구 야탑로 95, 2층(야탑동,세신옴니코아빌딩)",2021-01-16
129,3에이치스마트지압침대전시장,기타(도소매),분당구,금곡동,지류,031-712-7007,"성남시 분당구 돌마로 73, 6층 605호(금곡동, 우방코아)",2021-01-16
130,3월의 잔디밭,학원,분당구,수내3동,모바일,031-719-0982,"성남시 분당구 돌마로 364, 2층 1호(수내동,현대프라자)",2021-01-16
131,3층메디칼약국,약국,분당구,서현1동,지류,031-703-9241,경기도 성남시 분당구 서현로 192 304호,2021-01-16
132,3플로우,카페,수정구,고등동,모두,031-721-2643,"성남시 수정구 달래내로 407, 3층(상적동)",2021-01-16
133,3egaji(세가지),음식점,중원구,성남동,모두,031-000-0000,경기도 성남시 중원구 둔촌대로64번길 4-4 1층,2021-01-16
134,3M썬팅(나라통상),기타(도소매),중원구,하대원동,모두,031-756-2077,성남시 중원구 성남대로 1108,2021-01-16
135,402닭발 떡볶이,음식점,중원구,성남동,모두,031-604-9974,경기도 성남시 중원구 광명로 109-9 1층,2021-01-16
136,4B미술학원,학원,분당구,서현1동,모바일,031-709-7313,성남시 분당구 중앙공원로31번길 42(서현동),2021-01-16
137,500원참숯양꼬치,음식점,중원구,성남동,모두,031-757-6888,"성남시 중원구 광명로32번길 9, 1층(성남동)",2021-01-16
138,52리폼,기타(도소매),분당구,수내1동,모두,031-000-0000,경기도 성남시 분당구 내정로 165번길 38 청구문화시장 120호(수내동),2021-01-16
139,55도커피로스터스,음식점,분당구,서현1동,모바일,031-000-0000,성남시 분당구 안골로 60(서현동),2021-01-16
140,59쌀피자,음식점,수정구,양지동,지류,031-749-5982,경기도 성남시 수정구 산성대로 525 (양지동),2021-01-16
141,59쌀피자,음식점,중원구,상대원2동,지류,031-747-0059,성남시 중원구 금상로57번길 1 1층,2021-01-16
142,59쌀피자 성남동,음식점,중원구,성남동,모두,031-758-5335,"성남시 중원구 광명로 115,1층 102호(성남동,동부주택 브리앙뜨)",2021-01-16
143,59피자,음식점,분당구,야탑3동,모두,031-701-5949,"성남시 분당구 벌말로 41, 1층101호",2021-01-16
144,5층종로약국,약국,분당구,야탑1동,모두,031-781-3133,"성남시 분당구 성남대로 926, 506(야탑동,메트로빌딩)",2021-01-16
145,604바이제이,미용,분당구,판교동,지류,031-8017-7072,경기도 성남시 분당구 운중로267번길 14-4 1층604바이제이,2021-01-16
146,60계,음식점,중원구,도촌동,모바일,031-753-8293,"성남시 중원구 도촌로8번길 14, 105호(도촌동, 도촌대덕프라자2)",2021-01-16
147,60계 서판교,음식점,분당구,판교동,모두,031-709-8960,경기도 성남시 분당구 운중로277번길 46-6 102호,2021-01-16
148,60계치킨 분당정자점,음식점,분당구,정자동,모바일,031-714-2992,"성남시 분당구 느티로63번길 8, 1층 102호(정자동)",2021-01-16
149,60계치킨 성남 남한산성점,음식점,수정구,양지동,모두,031-746-6060,경기도 성남시 수정구 산성대로 495 1층(양지동),2021-01-16
150,60계치킨 성남 남한산성점,음식점,수정구,양지동,모바일,031-746-6060,"성남시 수정구 산성대로 495, 1층(양지동)",2021-01-16
151,60계치킨 오리미금점,음식점,분당구,구미동,모두,031-715-5260,"경기도 성남시 분당구 구미로9번길 25, 105-1호(구미동, 분당대맥주차빌딩)",2021-01-16
152,60계치킨동판교점,음식점,분당구,삼평동,모두,031-706-6066,"경기도 성남시 분당구 대왕판교로606번길 58 1층 1-78,79호",2021-01-16
153,6개월 수학을 바꾸다,학원,수정구,위례동,모두,,경기도 성남시 수정구 위례광장로 310 A동 10층 1007호,2021-01-16
154,6구역,음식점,중원구,금광2동,지류,031-732-9235,경기도 성남시 중원구 광명로 355 1층 6구역,2021-01-16
155,720돈까스 · 냉면,음식점,수정구,위례동,모바일,031-755-0720,"성남시 수정구 위례광장로 41, 1층 105호(창곡동)",2021-01-16
156,77번가헤어샵,미용,분당구,판교동,모두,031-8017-1773,"성남시 분당구 운중로233번길 12, 101호",2021-01-16
157,77수산,음식점,수정구,신흥3동,모바일,031-736-1238,"성남시 수정구 산성대로295번길 7, 1층(신흥동)",2021-01-16
158,7번가 피자 미금점,음식점,분당구,구미동,지류,031-711-3977,"성남시 분당구 미금일로 71 1층 3호(구미동, 하나빌딩)",2021-01-16
159,7번가 피자 미금점,음식점,분당구,구미동,지류,031-711-3977,경기도 성남시 분당구 미금일로 71 1층 7번가 피자,2021-01-16
160,7번가피자 수내정자점,음식점,분당구,수내3동,모두,031-752-2777,"성남시 분당구 돌마로356번길 3, 1층 118호 (그랜드빌딩)",2021-01-16
161,7번가피자 수내정자점,음식점,분당구,수내3동,모두,031-752-2777,경기도 성남시 분당구 돌마로356번길 3 118호0,2021-01-16
162,7번가피자 위례점,음식점,수정구,위례동,지류,031-759-7979,"경기도 성남시 수정구 위례순환로 130 (창곡동, 아트리버 푸르지오)",2021-01-16
163,7프로칠백식당,음식점,분당구,구미1동,모두,031-716-0701,경기도 성남시 분당구 미금일로74번길 25-7 1층,2021-01-16
164,8+1한의원,한의원,분당구,서현1동,지류,031-706-8288,경기도 성남시 분당구 서현로180번길 13 (서현동),2021-01-16
165,827네일,미용,분당구,구미동,지류,031-717-0827,"성남시 분당구 성남대로144번길 16, 1층 103호(구미동)",2021-01-16
166,827네일,미용,분당구,구미동,지류,031-717-0827,경기도 성남시 분당구 성남대로144번길 16 1층 827네일,2021-01-16
167,88집,음식점,중원구,금광1동,모두,031-732-6480,"성남시 중원구 광명로 289(금광동,단대쇼핑내지층 85~86호)",2021-01-16
168,9 Blogk 1호점,문화·스포츠,분당구,야탑1동,지류,,경기도 성남시 분당구 성남대로926번길 6 (야탑동),2021-01-16
169,9 Blogk 2호점,문화·스포츠,분당구,야탑1동,지류,031-000-0000,경기도 성남시 분당구 성남대로926번길 6 (야탑동),2021-01-16
170,94번가,음식점,분당구,정자동,모두,031-711-9422,성남시 분당구 느티로69번길 8  1층,2021-01-16
171,9T05(신구대점),슈퍼마켓,중원구,금광1동,지류,031-747-5445,성남시 중원구 금빛로41번길 37-6,2021-01-16
172,가가호호백세약국,기타(도소매),수정구,태평2동,모두,031-751-5222,"성남시 수정구 수정로171번길 21, 101호(태평동)",2021-01-16
173,가고싶은 후문약국,기타(도소매),수정구,태평2동,모두,031-721-0045,성남시 수정구 시민로205번길 32(태평동),2021-01-16
174,가구가전아울렛,기타(도소매),수정구,태평3동,지류,,경기도 성남시 수정구 남문로 48-1 1층 매장,2021-01-16
175,가까운태평양약국,약국,수정구,태평2동,모두,031-752-8020,"성남시 수정구 수정로171번길 8, 3층(태평동,정산빌딩)",2021-01-16
176,가나다한의원,한의원,중원구,금광2동,모바일,031-745-7533,"성남시 중원구 산성대로372번길 23, 2층(금광동)",2021-01-16
177,가나동물병원,동물병원,수정구,신흥1동,모두,031-721-7582,성남시 수정구 수정로 160,2021-01-16
178,가나어린이집,기타(도소매),중원구,하대원동,모바일,031-754-8813,"성남시 중원구 둔촌대로 300, 1016-103(하대원동,아튼빌(아))",2021-01-16
179,가든 에비스 garden ebisu,기타(도소매),분당구,정자1동,모바일,070-8836-4993,"성남시 분당구 정자일로 121, H동 25호(정자동, 분당더샵스타파크상가)",2021-01-16
180,가든에비스,기타(도소매),분당구,정자동,모두,031-000-0000,"경기도 성남시 분당구 정자일로 121, 상가동 D-23호(정자동, 더샵스타파크)",2021-01-16
181,가든에비스판교,카페,분당구,운중동,모두,031-707-0451,경기도 성남시 분당구 운중로 142 메디칼타워 1층 108호,2021-01-16
182,가든플로라꽃집,기타(도소매),중원구,은행2동,모두,031-747-0099,경기도 성남시 중원구 산성대로 526 1층 마-12호,2021-01-16
183,가띠(Gadi),기타(도소매),분당구,서현1동,모두,031-701-5065,경기도 성남시 분당구 중앙공원로40번길 4 133호(서현동),2021-01-16
184,가락곰칼국수,음식점,중원구,도촌동,모바일,031-000-0000,"성남시 중원구 도촌남로 27, 102호(도촌동)",2021-01-16
185,가락성남 공판장,슈퍼마켓,수정구,태평1동,지류,031-752-0100,성남시 성남시 수정구 모란로 137-2(태평동),2021-01-16
186,가락성남공판장,슈퍼마켓,수정구,태평1동,지류,031-752-0100,경기도 성남시 수정구 모란로 137-2 (태평동),2021-01-16
187,가락성남공판장,슈퍼마켓,수정구,태평1동,지류,031-752-0100,경기도 성남시 수정구 모란로 137-2 1층 슈퍼,2021-01-16
188,가락유통,기타(도소매),중원구,은행2동,지류,031-0000-0000,경기도 성남시 중원구 은이로29번길 3 1층 가락유통,2021-01-16
189,가락청과,기타(도소매),분당구,수내1동,모두,031-716-6007,"성남시 분당구 내정로173번길 11, 602동 152호(수내동,양지마을주상복합상가)",2021-01-16
190,가락축산직판장,슈퍼마켓,분당구,운중동,모두,031-715-9733,"성남시 분당구 운중로138번길 35,1층 103호(운중동)",2021-01-16
191,가락한우,슈퍼마켓,분당구,삼평동,모두,031-707-6089,성남시 분당구 동판교로 155,2021-01-16
192,가람마트,기타(도소매),수정구,태평1동,지류,031-752-5394,경기도 성남시 수정구 수정로25번길 15 성남시 수정구 4113154000 7263-3,2021-01-16
193,가람이벤트,기타(도소매),수정구,신흥1동,모두,031-742-7777,성남시 수정구 시민로 139,2021-01-16
194,가마고을,음식점,중원구,은행2동,지류,031-731-1455,성남시 중원구 산성대로540번길 1,2021-01-16
195,가마로 강정 분당구미점,음식점,분당구,구미동,지류,031-713-9200,경기도 성남시 분당구 구미로 60 (구미동),2021-01-16
196,가마로강정 (야탑점),음식점,분당구,야탑1동,모두,031-704-7292,"성남시 분당구 성남대로 926, 1층 119호 (메트로빌딩)",2021-01-16
197,가마로강정 미금역점,음식점,분당구,금곡동,모두,031-782-4222,성남시 분당구 성남대로 165  117호(천사의도시오피스텔1차),2021-01-16
